window_start,endpoint,avg_latency,max_latency,request_rate,error_rate,latency_std,errors_per_window,endpoint_frequency,error_category
2026-03-24 17:03:30+00:00,/api/db,0.4180891390258161,0.4223407894220465,0.06666666666666667,0.0,0.006012741652817884,0,2,NONE
2026-03-24 17:04:30+00:00,/api/db,0.5121432027406532,0.5121432027406532,0.03333333333333333,0.0,,0,1,NONE
2026-03-24 17:10:00+00:00,/api/db,0.4731808672536821,0.4731808672536821,0.03333333333333333,0.0,,0,1,NONE
2026-03-24 17:16:00+00:00,/api/db,0.5612707429074333,0.5612707429074333,0.03333333333333333,0.0,,0,1,NONE
2026-03-24 17:17:30+00:00,/api/db,0.5616752828537992,0.5616752828537992,0.03333333333333333,0.0,,0,1,NONE
2026-03-24 17:18:00+00:00,/api/db,0.5059672337322232,0.5059672337322232,0.03333333333333333,0.0,,0,1,NONE
2026-03-24 17:18:30+00:00,/api/db,0.29416645972456457,0.29416645972456457,0.03333333333333333,0.0,,0,1,NONE
2026-03-24 17:20:30+00:00,/api/db,0.42203154817844724,0.42203154817844724,0.03333333333333333,1.0,,1,1,DATABASE_ERROR
2026-03-24 17:22:00+00:00,/api/db,0.42819417568230206,0.42819417568230206,0.03333333333333333,0.0,,0,1,NONE
2026-03-24 17:22:30+00:00,/api/db,0.5505300638738593,0.5505300638738593,0.03333333333333333,1.0,,1,1,DATABASE_ERROR
2026-03-24 17:26:30+00:00,/api/db,0.3451708814899186,0.3451708814899186,0.03333333333333333,0.0,,0,1,NONE
2026-03-24 17:27:30+00:00,/api/db,0.38264117888122834,0.38264117888122834,0.03333333333333333,1.0,,1,1,DATABASE_ERROR
2026-03-24 17:29:00+00:00,/api/db,0.22807903177379374,0.22807903177379374,0.03333333333333333,0.0,,0,1,NONE
2026-03-24 17:36:30+00:00,/api/db,0.5087349277032511,0.5087349277032511,0.03333333333333333,0.0,,0,1,NONE
2026-03-24 17:37:30+00:00,/api/db,0.3995706559692304,0.3995706559692304,0.03333333333333333,1.0,,1,1,DATABASE_ERROR
2026-03-24 17:38:30+00:00,/api/db,0.22597440972294966,0.22597440972294966,0.03333333333333333,0.0,,0,1,NONE
2026-03-24 17:42:30+00:00,/api/db,0.39654980151921665,0.39654980151921665,0.03333333333333333,0.0,,0,1,NONE
2026-03-24 17:48:00+00:00,/api/db,0.4999871651675954,0.4999871651675954,0.03333333333333333,0.0,,0,1,NONE
2026-03-24 17:56:30+00:00,/api/db,0.42092116572890725,0.42092116572890725,0.03333333333333333,0.0,,0,1,NONE
2026-03-24 17:57:00+00:00,/api/db,0.33261805611739337,0.33261805611739337,0.03333333333333333,0.0,,0,1,NONE
